ISO_Code,country,Continent,gdp_ppp,iwi,iwi_source,edu_composite,edu_expected,residual_performance,residual_z,residual_scaled,primary_avg,secondary_avg,tertiary_avg,completion_avg,gov_expenditure_pct_gdp,yearsAbove,yearsBelow,years_data,year_min,year_max
ABW,Aruba,Latin America,37053.3751,94.6788,estimated_from_gdp,90.5651,92.6183,-2.0532,-0.1111,-1.1112,113.7968,105.9825,29.1682,98.0084,5.257,5,15,20,2000,2020
AFG,Afghanistan,Asia/Pacific,2508.9594,39.8669,observed,64.0405,67.2127,-3.1722,-0.4838,-4.8375,99.7937,40.9079,4.8043,86.2687,3.9077,10,8,18,2001,2019
AGO,Angola,Sub-Saharan Africa,10480.0396,35.4444,observed,54.3496,64.3795,-10.03,-0.8049,-8.0489,112.0511,28.4958,7.4065,43.3803,2.8695,2,7,9,2002,2018
ALB,Albania,Europe,12175.4144,84.4684,observed,87.1504,90.0162,-2.8658,-0.023,-0.2301,103.88,91.9934,43.8742,103.9812,3.3824,9,10,19,2002,2020
AND,Andorra,Europe,61569.62,100.0,estimated_from_gdp,73.7813,93.6112,-19.8298,-1.8054,-18.0545,89.5283,88.6944,12.1616,76.1681,2.6716,0,19,19,2002,2020
ARE,United Arab Emirates,Middle East/North Africa,80637.31,100.0,estimated_from_gdp,89.4487,93.6112,-4.1625,-0.5467,-5.4673,95.3693,81.5248,56.1612,85.7896,3.9222,7,12,19,2000,2020
ARG,Argentina,Latin America,25634.6938,86.2021,estimated_from_gdp,99.6034,90.4993,9.1041,1.247,12.4702,115.2429,101.3557,75.0967,101.4667,4.8303,21,0,21,2000,2020
ARM,Armenia,Asia/Pacific,10706.2961,80.3264,observed,82.75,88.5905,-5.8405,-0.408,-4.0801,98.095,89.5753,44.4394,95.6501,2.7303,1,20,21,2000,2020
ATG,Antigua and Barbuda,Latin America,27518.158,87.9032,estimated_from_gdp,106.4111,90.9921,15.4189,0.9359,9.3586,114.9662,113.401,17.8411,109.5658,2.3537,14,0,14,2000,2019
AUS,Australia,Asia/Pacific,57041.4557,100.0,estimated_from_gdp,122.5092,93.6112,28.898,2.0081,20.0811,100.6639,147.6557,112.0961,,5.4185,6,0,6,2015,2020
AUT,Austria,Europe,59363.5146,100.0,estimated_from_gdp,97.1615,93.6112,3.5503,0.2937,2.9365,101.6124,100.2369,78.6906,98.6506,5.4314,18,3,21,2000,2020
AZE,Azerbaijan,Europe,15718.9093,69.1205,observed,83.5911,84.0975,-0.5063,-0.2086,-2.0861,98.4581,87.2997,24.0449,96.0787,2.9353,8,13,21,2000,2020
BDI,Burundi,Sub-Saharan Africa,1012.8198,16.4064,observed,50.1262,48.7281,1.3981,0.2972,2.9722,108.2556,28.8468,3.2349,49.3843,5.1623,12,9,21,2000,2020
BEL,Belgium,Europe,55726.7818,100.0,estimated_from_gdp,115.6062,93.6112,21.995,1.4987,14.9873,102.606,158.0634,68.1706,,6.1647,21,0,21,2000,2020
BEN,Benin,Sub-Saharan Africa,2836.3144,32.775,observed,60.5188,62.4336,-1.9148,-0.2195,-2.1947,110.0145,39.8864,9.6971,61.1046,2.9653,10,10,20,2000,2020
BFA,Burkina Faso,Sub-Saharan Africa,1893.2051,29.4476,observed,37.724,59.6467,-21.9227,-2.0349,-20.3491,71.6938,23.8515,3.9712,45.4991,4.352,0,21,21,2000,2020
BGD,Bangladesh,Asia/Pacific,4378.5722,35.2594,observed,48.6238,64.0329,-15.4091,-1.0417,-10.4174,103.3964,54.9314,12.0248,62.893,1.9913,1,19,20,2000,2020
BGR,Bulgaria,Europe,21309.3727,81.5785,estimated_from_gdp,91.5844,88.9933,2.5911,0.5448,5.4483,102.8907,95.0209,60.923,100.6836,3.9318,19,2,21,2000,2020
BHR,Bahrain,Middle East/North Africa,54802.7942,100.0,estimated_from_gdp,86.7233,93.6112,-6.8879,-0.5108,-5.1081,98.6222,93.5253,40.6065,95.4014,2.5348,0,16,16,2000,2019
BHS,"Bahamas, The",Latin America,34028.2273,92.7873,estimated_from_gdp,85.2125,92.2155,-7.0031,-0.645,-6.4504,88.3551,82.522,,85.4123,2.3789,0,12,12,2002,2014
BIH,Bosnia and Herzegovina,Europe,13829.6846,84.1626,observed,78.0499,89.6645,-11.6146,-0.982,-9.8199,93.8537,84.4936,41.9172,84.6355,3.4847,0,14,14,2007,2020
BLR,Belarus,Europe,21283.5251,81.1104,observed,95.4199,88.8663,6.5536,0.7404,7.4039,100.3152,102.4637,77.5736,100.3646,5.255,21,0,21,2000,2020
BLZ,Belize,Latin America,12008.9878,71.8981,observed,82.2876,85.4999,-3.2123,-0.1057,-1.0568,115.1489,78.4335,20.8814,102.396,5.0573,6,15,21,2000,2020
BMU,Bermuda,North America,100157.3161,100.0,estimated_from_gdp,90.3416,93.6112,-3.2696,-0.3006,-3.0057,104.2029,89.1679,32.984,106.7955,1.9022,6,11,17,2001,2020
BOL,Bolivia,Latin America,9474.3895,59.2767,observed,95.4765,79.3379,16.1386,0.7594,7.5937,106.3663,86.4962,,93.4854,7.2688,21,0,21,2000,2020
BRA,Brazil,Latin America,18247.0289,81.0001,observed,90.0289,88.8323,1.1966,-0.036,-0.36,108.2546,102.2741,48.8789,,6.0379,7,2,9,2012,2020
BRB,Barbados,Latin America,21695.3726,85.7047,observed,99.6419,90.305,9.3369,0.6283,6.2829,99.8943,107.6573,58.2977,97.5104,5.2716,19,0,19,2000,2020
BRN,Brunei Darussalam,Asia/Pacific,90529.3472,100.0,estimated_from_gdp,82.6738,93.6112,-10.9373,-0.9137,-9.1373,103.3815,88.9175,20.835,103.9449,3.2905,0,21,21,2000,2020
BTN,Bhutan,Asia/Pacific,10127.4525,61.0368,observed,71.2821,80.2885,-9.0064,-0.7991,-7.9913,100.4791,64.1446,9.461,81.547,5.3654,3,16,19,2000,2020
BWA,Botswana,Sub-Saharan Africa,14774.964,50.9286,observed,73.8177,74.7265,-0.9088,0.1006,1.0064,103.2349,75.9483,14.4634,92.0274,8.8516,8,6,14,2000,2015
CAF,Central African Republic,Sub-Saharan Africa,1309.1082,16.6833,observed,37.5945,49.0854,-11.4909,-1.0021,-10.0206,74.3926,13.5629,2.1993,33.0348,1.4972,1,11,12,2001,2017
CAN,Canada,North America,54151.836,100.0,estimated_from_gdp,94.6314,93.6112,1.0203,-0.0666,-0.6658,99.0092,106.8631,66.3998,98.263,4.8895,11,6,17,2000,2020
CHE,Switzerland,Europe,73585.1516,100.0,estimated_from_gdp,89.488,93.6112,-4.1232,-0.188,-1.8796,103.0362,98.0829,52.5139,95.8015,4.9604,1,20,21,2000,2020
CHL,Chile,Latin America,24224.6219,86.9777,observed,90.4942,90.7523,-0.2581,0.1475,1.4751,103.0209,95.0696,67.3985,97.5533,4.3606,10,10,20,2000,2020
CHN,China,Asia/Pacific,11372.9559,68.3833,observed,72.1872,83.792,-11.6048,-0.759,-7.5897,102.7675,77.3029,32.1202,100.8804,3.8203,3,16,19,2000,2020
CIV,Cote d'Ivoire,Sub-Saharan Africa,4802.5799,43.7688,observed,53.4243,70.2738,-16.8494,-1.4495,-14.4952,79.9359,46.6855,8.387,55.7858,3.2253,0,16,16,2000,2020
CMR,Cameroon,Sub-Saharan Africa,4384.1611,35.8905,observed,55.8915,64.6095,-8.718,-0.6329,-6.3286,106.6362,41.5755,10.3692,65.8864,2.6952,0,21,21,2000,2020
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,1220.6104,19.405,observed,57.9991,51.4629,6.5362,0.5515,5.515,97.0273,39.3949,6.3879,61.0076,2.0663,9,2,11,2002,2020
COG,"Congo, Rep.",Sub-Saharan Africa,8009.6175,39.9,observed,69.2689,67.3563,1.9127,-0.1531,-1.531,101.8102,46.5959,6.668,67.0006,2.9996,7,9,16,2000,2018
COL,Colombia,Latin America,14348.8306,75.6443,observed,93.5769,86.8602,6.7167,0.9671,9.6712,119.559,94.3844,43.2863,107.396,3.6099,19,1,20,2000,2020
COM,Comoros,Sub-Saharan Africa,3164.1546,42.6636,observed,66.916,69.3985,-2.4825,-0.3658,-3.6584,103.8993,51.0623,6.2177,65.8586,2.9278,3,8,11,2000,2018
CPV,Cabo Verde,Sub-Saharan Africa,6741.1031,63.357,observed,77.4887,81.0566,-3.5679,-0.1892,-1.892,106.402,79.5047,13.1223,91.7687,5.2503,6,15,21,2000,2020
CRI,Costa Rica,Latin America,18882.0773,84.3096,observed,96.1087,89.763,6.3458,0.6106,6.1056,110.5637,100.9304,48.2674,94.6433,5.9767,18,2,20,2000,2020
CUW,Curacao,Latin America,27711.5777,87.9163,estimated_from_gdp,96.4125,90.9654,5.4471,0.2776,2.7765,144.5862,107.8885,18.9814,,5.1163,2,0,2,2013,2020
CYM,Cayman Islands,Latin America,78070.7997,100.0,estimated_from_gdp,83.6562,93.6112,-9.955,-0.7894,-7.8936,101.1124,94.8428,33.9737,103.3766,1.5853,0,14,14,2006,2020
CYP,Cyprus,Europe,40482.6278,96.6787,estimated_from_gdp,88.3536,93.0169,-4.6633,-0.2373,-2.373,99.5551,96.2378,49.2739,98.9547,6.0537,4,17,21,2000,2020
CZE,Czechia,Europe,38796.6646,95.5403,estimated_from_gdp,91.4323,92.7632,-1.3308,0.122,1.2199,101.4472,99.0461,56.738,100.0364,4.2083,6,15,21,2000,2020
DEU,Germany,Europe,55902.2932,100.0,estimated_from_gdp,99.8352,93.6112,6.224,0.4976,4.9755,103.7563,102.0946,68.1237,101.3017,4.6053,21,0,21,2000,2020
DMA,Dominica,Latin America,16202.0198,75.925,estimated_from_gdp,104.1428,87.1245,17.0184,1.0687,10.6874,105.1756,107.0063,,100.9461,4.5928,18,1,19,2000,2020
DNK,Denmark,Europe,61811.6183,100.0,estimated_from_gdp,103.002,93.6112,9.3908,1.2286,12.2865,100.4063,125.4597,75.8489,100.2058,7.8268,21,0,21,2000,2020
DOM,Dominican Republic,Latin America,15398.7864,73.275,observed,87.3945,86.0075,1.387,0.1048,1.0483,110.2593,76.7122,52.2202,92.9187,3.0403,9,11,20,2000,2020
DZA,Algeria,Sub-Saharan Africa,14107.8326,80.5905,observed,85.3362,88.6232,-3.2871,-0.2777,-2.777,111.0534,81.8529,33.0749,97.845,6.0344,5,16,21,2000,2020
ECU,Ecuador,Latin America,11936.909,71.0805,observed,90.202,85.1413,5.0606,0.3857,3.8565,105.4886,81.3608,44.7501,98.0628,4.3899,19,2,21,2000,2020
EGY,"Egypt, Arab Rep.",Sub-Saharan Africa,12390.5026,79.9967,observed,74.7149,88.5104,-13.7955,-1.1816,-11.8158,93.5173,76.9207,30.0143,88.3513,4.0968,2,17,19,2000,2020
ESP,Spain,Europe,43079.1209,98.1158,estimated_from_gdp,101.4959,93.2882,8.2076,1.0192,10.1922,103.0522,119.6708,77.1883,97.4747,4.3579,21,0,21,2000,2020
EST,Estonia,Europe,32650.0256,91.4332,estimated_from_gdp,95.9935,91.8127,4.1808,0.7162,7.1622,100.6023,106.7397,68.907,100.1586,5.1744,21,0,21,2000,2020
ETH,Ethiopia,Sub-Saharan Africa,1278.801,13.4106,observed,45.1122,45.967,-0.8548,-0.128,-1.2797,82.0615,26.8137,4.157,44.2766,4.7367,7,9,16,2000,2020
FIN,Finland,Europe,53319.8633,100.0,estimated_from_gdp,106.4272,93.6112,12.8161,1.6472,16.4722,99.6802,128.1891,91.1657,99.2693,6.3669,21,0,21,2000,2020
FJI,Fiji,Asia/Pacific,10558.5968,72.6744,observed,89.0329,85.7176,3.3153,0.2692,2.6917,99.1667,82.4707,63.3215,96.6893,5.0619,17,2,19,2000,2020
FRA,France,Europe,49427.5961,99.9684,estimated_from_gdp,91.3998,93.6061,-2.2062,-0.2741,-2.7406,102.1928,104.8068,57.6319,92.9304,5.5231,3,18,21,2000,2020
FSM,"Micronesia, Fed. Sts.",Asia/Pacific,3740.2092,42.8433,estimated_from_gdp,92.8732,69.773,23.1002,0.9167,9.1671,98.3612,86.3456,,88.2069,11.8262,10,0,10,2004,2020
GAB,Gabon,Sub-Saharan Africa,20738.2805,52.775,observed,72.1226,75.6818,-3.5592,-0.4281,-4.2813,124.6295,55.1117,11.5852,69.98,2.8743,1,3,4,2001,2019
GBR,United Kingdom,Europe,47875.4676,99.7527,estimated_from_gdp,93.2626,93.57,-0.3074,-0.0122,-0.1225,102.9183,108.1162,59.64,98.9897,5.1136,7,14,21,2000,2020
GEO,Georgia,Asia/Pacific,11771.2302,72.8967,observed,91.0228,85.6054,5.4175,0.8142,8.1422,105.3927,99.1246,47.2601,106.1493,2.8983,19,2,21,2000,2020
GHA,Ghana,Sub-Saharan Africa,4758.2138,42.81,observed,62.5445,69.4274,-6.8829,-0.5458,-5.4582,93.0907,51.6911,11.9432,78.5072,5.0754,0,20,20,2000,2020
GIN,Guinea,Sub-Saharan Africa,2788.989,30.3026,observed,48.718,60.2358,-11.5177,-0.9965,-9.9648,85.2279,32.4727,8.0486,53.4015,2.0511,0,21,21,2000,2020
GMB,"Gambia, The",Sub-Saharan Africa,2632.4248,47.9316,observed,64.8082,72.8533,-8.0451,-0.822,-8.2195,77.0795,48.7243,2.1234,62.141,1.8053,3,16,19,2000,2020
GNB,Guinea-Bissau,Sub-Saharan Africa,2066.0943,28.0756,observed,58.5339,58.8431,-0.3093,-0.3367,-3.3667,106.6681,28.0357,2.3469,45.3014,1.6822,1,3,4,2000,2010
GNQ,Equatorial Guinea,Sub-Saharan Africa,27068.2913,71.5631,observed,44.1909,81.847,-37.6561,-2.4262,-24.2616,66.1013,19.5703,4.4648,34.8015,,0,13,13,2000,2019
GRC,Greece,Europe,34135.5596,92.7706,estimated_from_gdp,99.725,92.1944,7.5306,0.9831,9.8307,98.7987,101.6176,102.9758,97.7718,3.853,14,5,19,2000,2020
GRD,Grenada,Latin America,14183.9926,72.896,estimated_from_gdp,103.656,85.9389,17.7172,1.1931,11.9305,103.1996,106.9446,86.5499,106.5823,4.0752,14,0,14,2002,2018
GTM,Guatemala,Latin America,10029.5507,60.1876,observed,66.9543,79.8694,-12.9151,-1.1729,-11.7291,107.7783,47.3183,17.3607,77.0209,3.0428,0,20,20,2000,2020
GUY,Guyana,Latin America,10199.2768,68.0641,observed,81.3454,83.7918,-2.4464,-0.2032,-2.0322,100.3551,91.437,10.4775,96.4578,4.6795,3,9,12,2000,2020
HKG,"Hong Kong SAR, China",Asia/Pacific,55468.3539,99.4662,estimated_from_gdp,91.4866,93.518,-2.0314,0.0122,0.1216,103.4975,93.519,59.3445,100.1691,3.7513,9,11,20,2001,2020
HND,Honduras,Latin America,5505.3523,62.6228,observed,69.2099,81.0835,-11.8737,-1.1558,-11.5577,96.1007,58.0775,19.859,79.9259,6.1647,3,16,19,2000,2020
HRV,Croatia,Europe,29280.4959,89.2841,estimated_from_gdp,91.4644,91.3495,0.1149,0.2779,2.7786,99.2,100.4626,58.6048,99.2188,4.5036,9,10,19,2001,2020
HUN,Hungary,Europe,29267.1121,89.1802,estimated_from_gdp,91.0115,91.3043,-0.2927,0.2339,2.3391,100.2742,101.1325,55.5251,97.9929,4.7971,12,9,21,2000,2020
IDN,Indonesia,Asia/Pacific,9090.5848,61.9238,observed,80.7835,80.6549,0.1286,0.2765,2.7646,110.2152,76.5666,25.2372,102.7222,2.5418,12,9,21,2000,2020
IND,India,Asia/Pacific,5218.8071,45.2619,observed,67.8246,70.9277,-3.1031,0.0081,0.0815,108.35,64.2916,19.5885,92.2261,3.8174,9,12,21,2000,2020
IRL,Ireland,Europe,69026.9422,100.0,estimated_from_gdp,97.5634,93.6112,3.9522,0.5171,5.1711,102.2124,117.3124,64.71,97.3535,4.5318,15,6,21,2000,2020
IRN,"Iran, Islamic Rep.",Middle East/North Africa,14545.9773,73.644,observed,85.7649,86.2461,-0.4812,0.1326,1.3259,108.0043,83.5719,42.6215,101.2838,3.6628,11,9,20,2000,2020
IRQ,Iraq,Asia/Pacific,10153.9689,73.153,observed,61.2109,86.0175,-24.8066,-2.2397,-22.3968,96.2492,43.2514,13.7538,63.181,,0,4,4,2000,2007
ISL,Iceland,Europe,58220.6389,100.0,estimated_from_gdp,97.1341,93.6112,3.5229,0.6453,6.4529,98.8451,112.2606,69.8593,99.0911,7.2941,19,2,21,2000,2020
ISR,Israel,Middle East/North Africa,37826.5889,95.0626,estimated_from_gdp,88.5416,92.6808,-4.1392,-0.195,-1.95,96.9137,96.7516,57.4117,96.2993,5.7992,0,21,21,2000,2020
ITA,Italy,Europe,49600.0643,99.9705,estimated_from_gdp,93.2839,93.6064,-0.3225,0.2307,2.307,102.133,100.1033,62.7155,100.7061,4.2628,11,10,21,2000,2020
JAM,Jamaica,Latin America,10109.92,72.9878,observed,79.7957,85.8374,-6.0416,-0.5445,-5.4453,95.7845,85.7192,21.0474,87.3301,5.4824,6,14,20,2000,2020
JOR,Jordan,Asia/Pacific,9762.3567,90.6556,observed,80.6983,91.6974,-10.9991,-0.9389,-9.3891,94.9948,86.869,35.6159,92.4797,3.1522,1,17,18,2000,2020
JPN,Japan,Asia/Pacific,43670.8677,98.4444,estimated_from_gdp,91.6382,93.3495,-1.7113,-0.2506,-2.5058,102.3814,102.0983,62.5189,,3.2441,0,8,8,2013,2020
KAZ,Kazakhstan,Asia/Pacific,25343.3819,79.2208,observed,94.6454,88.1392,6.5062,0.4449,4.4485,101.4372,100.0254,51.493,100.4768,3.2212,20,1,21,2000,2020
KEN,Kenya,Sub-Saharan Africa,4125.7857,29.4429,observed,66.9018,59.6399,7.2619,0.2979,2.9788,100.9426,47.4978,5.5381,95.6842,5.664,9,5,14,2000,2019
KGZ,Kyrgyz Republic,Asia/Pacific,4898.0369,71.6381,observed,82.8064,85.1682,-2.3618,-0.0039,-0.0387,97.994,86.8057,41.6763,96.0066,5.7624,0,21,21,2000,2020
KHM,Cambodia,Asia/Pacific,3929.9853,43.5381,observed,76.5374,69.583,6.9544,0.4013,4.0132,124.1932,38.7367,9.0294,88.2136,1.8553,14,7,21,2000,2020
KIR,Kiribati,Asia/Pacific,2395.3041,35.2447,observed,98.317,64.267,34.0499,2.1293,21.2931,105.6032,79.6291,,105.2917,12.0432,13,0,13,2000,2020
KNA,St. Kitts and Nevis,Latin America,24241.08,84.9388,estimated_from_gdp,105.2337,90.1346,15.099,1.1335,11.3354,111.9003,102.7633,67.2159,106.7694,3.5055,15,1,16,2000,2016
